schemaname,table_name,index_name,index_size,idx_scan,idx_tup_read,idx_tup_fetch,is_primary,is_unique,is_valid,index_def
public,manual_assignment_sessions,manual_assignment_sessions_booking_id_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX manual_assignment_sessions_booking_id_key ON public.manual_assignment_sessions USING btree (booking_id)
public,manual_assignment_sessions,manual_assignment_sessions_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX manual_assignment_sessions_pkey ON public.manual_assignment_sessions USING btree (id)
public,manual_assignment_sessions,mas_active_state_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX mas_active_state_idx ON public.manual_assignment_sessions USING btree (state) WHERE (state = ANY (ARRAY['none'::manual_assignment_session_state, 'proposed'::manual_assignment_session_state, 'held'::manual_assignment_session_state, 'conflicted'::manual_assignment_session_state]))"
public,manual_assignment_sessions,mas_booking_state_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX mas_booking_state_idx ON public.manual_assignment_sessions USING btree (booking_id, state)"
public,manual_assignment_sessions,mas_restaurant_state_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX mas_restaurant_state_idx ON public.manual_assignment_sessions USING btree (restaurant_id, state)"
public,restaurant_invites,restaurant_invites_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX restaurant_invites_pkey ON public.restaurant_invites USING btree (id)
public,restaurant_invites,restaurant_invites_pending_unique_email,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX restaurant_invites_pending_unique_email ON public.restaurant_invites USING btree (restaurant_id, email_normalized) WHERE (status = 'pending'::text)"
public,restaurant_invites,restaurant_invites_restaurant_status_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX restaurant_invites_restaurant_status_idx ON public.restaurant_invites USING btree (restaurant_id, status, expires_at DESC)"
public,restaurant_invites,restaurant_invites_token_hash_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX restaurant_invites_token_hash_key ON public.restaurant_invites USING btree (token_hash)
public,table_hold_members,table_hold_members_hold_id_table_id_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX table_hold_members_hold_id_table_id_key ON public.table_hold_members USING btree (hold_id, table_id)"
public,table_hold_members,table_hold_members_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX table_hold_members_pkey ON public.table_hold_members USING btree (id)
public,table_hold_members,idx_table_hold_members_hold,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_table_hold_members_hold ON public.table_hold_members USING btree (hold_id)
public,table_hold_members,idx_table_hold_members_table,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_table_hold_members_table ON public.table_hold_members USING btree (table_id)
public,table_hold_members,table_hold_members_table_active_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_hold_members_table_active_idx ON public.table_hold_members USING btree (table_id)
public,table_hold_members,table_hold_members_table_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_hold_members_table_idx ON public.table_hold_members USING btree (table_id)
public,table_hold_members,thm_unique,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX thm_unique ON public.table_hold_members USING btree (hold_id, table_id)"
public,table_hold_windows,table_hold_windows_pkey,8192 bytes,0,0,0,t,t,t,"CREATE UNIQUE INDEX table_hold_windows_pkey ON public.table_hold_windows USING btree (hold_id, table_id)"
public,table_hold_windows,table_hold_windows_restaurant_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_hold_windows_restaurant_idx ON public.table_hold_windows USING btree (restaurant_id)
public,table_hold_windows,table_hold_windows_table_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_hold_windows_table_idx ON public.table_hold_windows USING btree (table_id)
public,table_hold_windows,thw_window_gist,8192 bytes,0,0,0,f,f,t,CREATE INDEX thw_window_gist ON public.table_hold_windows USING gist (hold_window)
public,table_holds,table_holds_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX table_holds_pkey ON public.table_holds USING btree (id)
public,table_holds,idx_table_holds_restaurant_end,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_table_holds_restaurant_end ON public.table_holds USING btree (restaurant_id, end_at)"
public,table_holds,idx_table_holds_restaurant_expires,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_table_holds_restaurant_expires ON public.table_holds USING btree (restaurant_id, expires_at)"
public,table_holds,idx_table_holds_restaurant_start,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_table_holds_restaurant_start ON public.table_holds USING btree (restaurant_id, start_at)"
public,table_holds,table_holds_active_booking_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_holds_active_booking_idx ON public.table_holds USING btree (booking_id) WHERE (status = 'active'::table_hold_status)
public,table_holds,table_holds_active_restaurant_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX table_holds_active_restaurant_idx ON public.table_holds USING btree (restaurant_id, start_at, end_at) WHERE (status = 'active'::table_hold_status)"
public,table_holds,table_holds_booking_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_holds_booking_idx ON public.table_holds USING btree (booking_id)
public,table_holds,table_holds_expires_at_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_holds_expires_at_idx ON public.table_holds USING btree (expires_at)
public,table_holds,table_holds_restaurant_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX table_holds_restaurant_idx ON public.table_holds USING btree (restaurant_id, start_at, end_at, expires_at)"
public,table_holds,table_holds_session_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX table_holds_session_idx ON public.table_holds USING btree (session_id)
